Brand,Model,CPU,CPU Score,RAM (GB),RAM Type,Storage (GB),GPU,Size (In),Color,Price ($),Refurbed,Open Box,Link
HP,ENVY x360 15-ey0013dx ,Ryzen 5 5625U,15131,8,DDR4-3200, 256," AMD Radeon Graphics
",15.6,Black,399.99,x,,https://www.microcenter.com/product/660467/hp-envy-x360-15-ey0013dx-156-2-in-1-laptop-computer-(refurbished)-black
HP,Pavilion x360 14-ek0033dx ,i5-1235U,13644,8,DDR4-3200 Onboard, 512," Intel Iris Xe Graphics
",14.0,Silver,399.99,x,,https://www.microcenter.com/product/660468/hp-pavilion-x360-14-ek0033dx-140-2-in-1-laptop-computer-(refurbished)-silver
HP,ENVY x360 Convertible 15-es1008ca ,i5-1155G7,10323,8,DDR4-3200, 1000," Intel Iris Xe Graphics
",15.6,Silver,499.99,x,,https://www.microcenter.com/product/651057/hp-envy-x360-convertible-15-es1008ca-156-2-in-1-laptop-computer-(refurbished)-silver
Lenovo,IdeaPad Flex 5 ,Ryzen 3 PRO 7330U,12846,8,LPDDR4x-4266 Onboard, 256," AMD Radeon Graphics
",14,Blue,"419.96
",,x,https://www.microcenter.com/product/664066/lenovo-ideapad-flex-5-14-2-in-1-laptop-computer-blue
HP,ENVY x360 Convertible 15-eu1073cl ,Ryzen 7 5825U,18542,16,DDR4-3200, 512," AMD Radeon Graphics
",15.6,Black,549.99,x,,https://www.microcenter.com/product/661888/hp-envy-x360-convertible-15-eu1073cl-156-2-in-1-laptop-computer-(refurbished)-black
Lenovo,Flex 5 ,Ryzen 7 5700U,15851,16,LPDDR4x-4266 Onboard, 512," AMD Radeon Graphics
",14,Gray,"467.96
",x,x,https://www.microcenter.com/product/662601/lenovo-flex-5-14-2-in-1-laptop-computer-(factory-refurbished)-gray?ob=1
HP,ENVY x360 15-ew0023dx ,i7-1255U,13935,16,DDR4-3200, 512," Intel Iris Xe Graphics
",15.6,Silver,579.99,x,,https://www.microcenter.com/product/661890/hp-envy-x360-15-ew0023dx-156-intel-evo-platform-2-in-1-laptop-computer-(refurbished)-silver
Lenovo,IdeaPad Flex 5 ,Ryzen 5 7530U,16500,8,LPDDR4x-4266 Onboard, 512," AMD Radeon Graphics
",14,Blue,579.99,,,https://www.microcenter.com/product/664068/lenovo-ideapad-flex-5-14-2-in-1-laptop-computer-blue
HP,Pavilion x360 Convertible 15-er0097nr ,i7-1165G7,10380,16,DDR4-3200, 512," Intel Iris Xe Graphics
",15.6,Silver,579.99,x,,https://www.microcenter.com/product/643048/hp-pavilion-x360-convertible-15-er0097nr-156-2-in-1-laptop-computer-(refurbished)-silver
HP,ENVY x360 Convertible 15-eu0013ca ,Ryzen 7 5700U,15851,16,DDR4-3200, 1000," AMD Radeon Graphics
",15.6,Black,599.99,x,,https://www.microcenter.com/product/648395/hp-envy-x360-convertible-15-eu0013ca-156-2-in-1-laptop-computer-refurbished-black
